,epsilon_progress,nfe
0,0,0
1,36,100
2,177,1196
3,233,2293
4,332,3387
5,410,4482
6,448,5579
7,467,6674
8,489,7768
9,493,8864
10,495,9960
11,496,11332
12,524,12708
13,528,14088
14,528,15466
15,533,16844
16,534,18223
17,535,19603
18,535,20062
