,epsilon_progress,nfe
0,0,0
1,40,100
2,194,1194
3,313,2290
4,486,3388
5,532,4486
6,553,5578
7,572,6673
8,580,7771
9,587,8866
10,588,9959
11,588,11337
12,590,12713
13,590,14093
14,590,15471
15,592,16850
16,652,18229
17,660,19606
18,660,20066
