generational_distance,hypervolume,epsilon_indicator,inverted_gd,spacing,nfe
inf,0.0,inf,inf,0.0,0
<<<<<<< HEAD
6.219190011446781,0.0,2.6023031060985833,2.8347862328271427,4158.909948171892,100
1.2442947339152965e-08,0.0,1.0,0.8903194919087003,0.0,1195
0.001969873209490204,0.0,0.3401403562832376,0.1276491245338704,105.76889601700256,2284
0.0,0.0,0.33333333333333337,0.12497347513922172,105.56405400556646,3380
=======
6.219190011446781,0.0,2.6023031060985833,2.8347862328271427,4158.909948171893,100
1.2442947339152965e-08,0.0,1.0,0.8903194919087003,0.0,1195
0.001969873209490176,0.0,0.3401403562832376,0.12764912453387034,105.76889601700256,2284
0.0,0.0,0.33333333333333337,0.12497347513922172,105.56405400556648,3380
>>>>>>> 02d6aa62b752d37dcddc3924cd6380b01fd87d10
0.0,0.0,0.0,0.0,1644.835029824524,4479
0.0,0.0,0.0,0.0,1644.835029824524,5571
0.0,0.0,0.0,0.0,1644.835029824524,6666
0.0,0.0,0.0,0.0,1644.835029824524,7760
0.0,0.0,0.0,0.0,1644.835029824524,8858
0.0,0.0,0.0,0.0,1644.835029824524,9955
0.0,0.0,0.0,0.0,1644.835029824524,10961
0.0,0.0,0.0,0.0,1644.835029824524,11961
0.0,0.0,0.0,0.0,1644.835029824524,12964
0.0,0.0,0.0,0.0,1644.835029824524,13983
0.0,0.0,0.0,0.0,1644.835029824524,14995
0.0,0.0,0.0,0.0,1644.835029824524,15995
0.0,0.0,0.0,0.0,1644.835029824524,16997
0.0,0.0,0.0,0.0,1644.835029824524,18010
0.0,0.0,0.0,0.0,1644.835029824524,19028
0.0,0.0,0.0,0.0,1644.835029824524,20015
