,epsilon_progress,nfe
0,0,0
1,31,100
2,215,1194
3,432,2292
4,663,3389
5,758,4485
6,841,5578
7,908,6673
8,952,7769
9,998,8866
10,1037,9965
11,1071,11246
12,1096,12529
13,1113,13812
14,1121,15094
15,1128,16378
16,1137,17660
17,1145,18944
18,1200,20228
