,epsilon_progress,nfe
0,0,0
1,29,100
2,173,1195
3,283,2292
4,401,3386
5,472,4483
6,499,5576
7,534,6670
8,549,7767
9,549,8863
10,550,9958
11,557,11338
12,559,12717
13,583,14095
14,583,15474
15,583,16853
16,587,18233
17,591,19612
18,591,20072
