,epsilon_progress,nfe
0,0,0
1,42,100
2,274,1196
3,500,2293
4,664,3390
5,773,4483
6,830,5483
7,878,6578
8,917,7675
9,938,8774
10,997,9871
11,1021,11123
12,1033,12277
13,1096,13432
14,1120,14588
15,1185,15742
16,1188,16898
17,1212,18053
18,1223,19209
19,1228,20365
