,epsilon_progress,nfe
0,0,0
1,40,100
2,233,1100
3,362,2195
4,454,3291
5,566,4388
6,642,5485
7,652,6581
8,658,7678
9,670,8776
10,671,9868
11,673,10886
12,673,12261
13,677,13639
14,681,15019
15,682,16398
16,704,17778
17,704,19157
18,713,20077
