,epsilon_progress,nfe
0,0,0
1,43,100
2,314,1195
3,678,2289
4,822,3383
5,942,4477
6,985,5572
7,1032,6668
8,1085,7763
9,1125,8862
10,1152,9960
11,1167,11085
12,1264,12212
13,1269,13338
14,1296,14465
15,1322,15593
16,1326,16721
17,1331,17849
18,1333,18975
19,1337,20103
