,epsilon_progress,nfe
0,0,0
1,34,100
2,258,1197
3,533,2292
4,711,3292
5,834,4385
6,946,5480
7,986,6575
8,1042,7670
9,1058,8764
10,1089,9860
11,1108,11115
12,1127,12271
13,1140,13427
14,1225,14583
15,1231,15739
16,1239,16895
17,1242,18050
18,1246,19206
19,1252,20362
