,epsilon_progress,nfe
0,0,0
1,19,100
2,159,1194
3,213,2288
4,231,3380
5,233,4473
6,235,5571
7,238,6665
8,238,7764
9,238,8862
10,238,9958
11,238,11052
12,238,12150
13,238,13247
14,238,14344
15,238,15437
16,238,16533
17,238,17631
18,238,18726
19,238,19822
20,238,20020
