,epsilon_progress,nfe
0,0,0
1,20,100
2,257,1198
3,553,2292
4,770,3389
5,898,4484
6,999,5581
7,1063,6680
8,1116,7778
9,1158,8874
10,1183,9968
11,1276,11303
12,1305,12638
13,1372,13974
14,1385,15309
15,1397,16645
16,1401,17981
17,1408,19317
18,1413,20653
