,epsilon_progress,nfe
0,0,0
1,38,100
2,238,1197
3,478,2293
4,668,3388
5,766,4483
6,826,5577
7,863,6671
8,889,7767
9,898,8864
10,926,9864
11,940,10904
12,990,12784
13,1004,14664
14,1060,16544
15,1157,18421
16,1170,20301
