,A.1 External Costs,A.1_Expected Number of Deaths,A.1_Expected Annual Damage,A.2 External Costs,A.2_Expected Number of Deaths,A.2_Expected Annual Damage,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
10,0,0.004856640466786,7507572.007444864,0,0.1625662405012688,199477330.3034703,17,199.48208972814413,10.0,0.783249465221308,119.2757176353242,1.5,0.3011403046862739,103.74658238495394,1.5,0.2761940665861579,224.33680462066704,1.0,0.14108801821806,93.58566685803744,10.0,0.7992206999893248,1.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,base case no policy,dikesnet
11,0,0.0,0.0,0,0.0468404318021999,54668662.64630245,27,250.53519466320012,10.0,0.9736312583558652,174.23539608068944,1.5,0.6657718009680686,336.39464675623867,1.0,0.8078657580996735,301.6876167794144,10.0,0.9819439579959288,191.76154628362272,10.0,0.5128926774811691,1.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,base case no policy,dikesnet
12,0,0.0571558166334065,67259458.15630263,0,0.0113084326133375,9703669.640189275,57,58.252005428861295,10.0,0.607047971616873,121.52992264563144,10.0,0.8623578987448614,266.4597657469211,1.0,0.0200779780028987,313.2903996426227,1.0,0.9559915403620716,44.96255959662902,1.0,0.7855103373734225,2.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012,base case no policy,dikesnet
13,0,0.0138537540431136,18054212.75648085,0,0.0308272408725704,30082989.2924532,49,44.04661425560711,10.0,0.7179308246472051,161.84340714383666,1.5,0.6398164524952706,237.945685468152,1.5,0.9397546649170024,51.98053541875663,10.0,0.2837660804634954,100.03631740984598,10.0,0.991155898038692,1.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,base case no policy,dikesnet
14,0,0.0,0.0,0,0.2586621972391153,284608297.77047324,92,153.0189610674177,1.5,0.8624444420159364,36.05109371787989,10.0,0.2066770895256296,266.8949862551946,1.5,0.0934314999236964,314.2567177939861,1.5,0.2243008693205039,310.048304299987,1.5,0.8310772162221634,3.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,base case no policy,dikesnet
15,0,1.7628192262396254,2847976181.31328,0,0.008782701596929,10551907.626678905,20,192.0729231044521,10.0,0.1871889987017625,230.76796626633276,1.0,0.241838635018782,179.9449612273133,1.0,0.9569838228356566,121.75730887520146,1.5,0.9776191273737336,129.68756926319287,1.0,0.3683322819678797,3.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,base case no policy,dikesnet
16,0,0.1451593897332453,203751323.80085972,0,0.0,0.0,105,273.03853066251816,1.5,0.517764800514124,170.42719663080734,1.0,0.7571538029286481,91.10097205964112,1.0,0.8126467281795114,239.6805140026785,1.5,0.4571654385884537,319.2549059007862,1.5,0.887802009229032,3.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,base case no policy,dikesnet
17,0,1.6998937788444737,2319361426.448088,0,0.351210213814781,374703350.8355001,51,94.37234284869577,1.0,0.1454422315367609,225.0890685391481,1.0,0.0785588939188312,167.27344379463025,1.5,0.9646487500996092,83.30492702606936,1.5,0.2603563695982183,155.51963041121888,10.0,0.1745597100932457,3.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,base case no policy,dikesnet
18,0,0.0554960321683782,70788221.77529792,0,0.2360494605547842,237781746.70559603,36,331.0694194414141,10.0,0.6053497470947479,234.3692138063899,10.0,0.2251286664635138,296.1185845719664,1.5,0.3437619708993795,116.99404052284096,1.0,0.7406504773122705,293.1712791026736,1.0,0.6145187879061582,2.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018,base case no policy,dikesnet
19,0,1.779341041562663,3333304445.5606537,0,0.0,0.0,112,292.2414603537799,1.5,0.1728204167913869,54.31493452778206,1.0,0.6748029295336737,147.11712069991216,10.0,0.8662438472720286,173.54632661190138,10.0,0.7916942744667321,81.06398808864279,10.0,0.5405254734350444,2.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,base case no policy,dikesnet
20,0,0.0295286899602112,36495598.10681779,0,0.058542524049502,55028505.39094433,88,103.3898083247901,10.0,0.6886738075185107,285.13863369625005,1.0,0.5351325968113686,136.87011088288858,10.0,0.1225502846528431,53.07249221262704,1.0,0.1530763993392585,158.22222364967135,10.0,0.9356685248277272,3.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,base case no policy,dikesnet
21,0,1.7807553785148682,2406747832.728451,0,0.0,0.0,60,194.9015089733124,1.5,0.2176058211574973,330.32047424408114,1.0,0.4578994956644234,41.589347680361485,1.0,0.4840444057931435,264.7309461694884,10.0,0.1220138755761899,254.0151494728849,10.0,0.967513764170214,3.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1021,base case no policy,dikesnet
22,0,0.0,0.0,0,0.011337341204336,13076856.62634058,51,155.85993712758136,1.5,0.8089491452715759,42.4857405616461,1.5,0.8743257661220013,242.37378654688547,10.0,0.2635504393276514,194.4273261431184,1.0,0.1803890191242957,324.84060967604694,1.0,0.6894031157522671,1.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,base case no policy,dikesnet
23,0,1.3085604344196886,1660144956.809301,0,0.0,0.0,26,131.49398536591565,1.0,0.3521237899764463,52.2907788226875,1.5,0.6970900681230442,178.76709269577444,1.5,0.1322453942688846,201.28299035193848,1.5,0.9441629810729436,84.7462437852756,1.0,0.532325381521578,2.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,base case no policy,dikesnet
24,0,0.0784337540037579,124269385.20360827,0,0.0052246593837709,5988202.269526595,32,305.4655038225064,1.5,0.617686590011264,248.7495967931573,10.0,0.9277380356054036,51.38927670466406,1.0,0.3676638453952973,61.14024682787112,10.0,0.5692412640840612,200.3274547996631,1.5,0.2374723750413095,2.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,base case no policy,dikesnet
25,0,0.1150194709649011,152485212.89559102,0,0.4309768616905482,456173721.5178408,60,345.7694687093145,1.5,0.5600982774395048,66.54380369613588,1.0,0.1778782236374777,236.48809299726867,1.0,0.4279094684142848,199.9176878797735,1.5,0.1498181540009841,261.9558073082616,1.5,0.3062456247889608,3.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,base case no policy,dikesnet
26,0,1.755076881542868,3296980831.813825,0,0.7602870980510246,1111254359.8557844,8,36.16483475014875,10.0,0.3339600403459571,302.9222298952491,1.0,0.0194355863532926,127.97014387188494,1.5,0.4111939541723608,340.0750166785714,1.0,0.4515857452940154,68.24268080474641,10.0,0.6557044788999492,2.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026,base case no policy,dikesnet
