,epsilon_progress,nfe
0,0,0
1,21,100
2,59,1195
3,73,2294
4,75,3390
5,76,4484
6,77,5579
7,78,6676
8,78,7774
9,78,8871
10,78,9966
11,78,10983
12,78,12000
13,78,13000
14,78,14017
15,78,15021
16,78,16032
17,78,17034
18,78,18043
19,78,19058
20,78,20016
