,epsilon_progress,nfe
0,0,0
1,9,100
2,74,1197
3,88,2293
4,92,3386
5,94,4482
6,95,5580
7,96,6677
8,96,7773
9,96,8869
10,96,9966
11,96,10973
12,96,11984
13,96,12990
14,96,14007
15,96,15017
16,96,16020
17,96,17023
18,96,18040
19,96,19044
20,96,20000
