,epsilon_progress,nfe
0,0,0
1,25,100
2,109,1196
3,146,2289
4,154,3384
5,158,4479
6,163,5577
7,164,6673
8,165,7769
9,166,8864
10,167,9959
11,167,10974
12,167,11988
13,167,13005
14,167,14023
15,167,15039
16,167,16059
17,167,17082
18,167,18100
19,167,19121
20,167,20011
