,epsilon_progress,nfe
0,0,0
1,40,100
2,217,1198
3,390,2295
4,542,3389
5,587,4484
6,598,5580
7,633,6671
8,651,7768
9,657,8865
10,683,9961
11,695,10983
12,695,12006
13,709,13027
14,709,14051
15,771,15074
16,772,16098
17,772,17120
18,772,18143
19,774,19166
20,774,20186
