,epsilon_progress,nfe
0,0,0
1,23,100
2,111,1195
3,156,2289
4,159,3385
5,162,4479
6,162,5573
7,162,6672
8,162,7771
9,162,8868
10,162,9964
11,162,10973
12,162,11982
13,162,12994
14,162,14006
15,162,15025
16,162,16027
17,162,17040
18,162,18051
19,162,19063
20,162,20013
