,epsilon_progress,nfe
0,0,0
1,42,100
2,255,1199
3,519,2292
4,679,3387
5,801,4480
6,927,5577
7,985,6577
8,1018,7665
9,1050,8761
10,1083,9855
11,1125,10956
12,1171,11958
13,1173,12962
14,1178,13965
15,1181,14968
16,1182,15972
17,1196,16976
18,1198,17980
19,1215,18984
20,1217,19988
21,1223,20992
