,epsilon_progress,nfe
0,0,0
1,20,100
2,97,1192
3,120,2290
4,133,3380
5,143,4473
6,148,5568
7,154,6666
8,155,7765
9,155,8863
10,155,9953
11,155,10954
12,156,11956
13,157,12958
14,159,13960
15,163,15013
16,170,16040
17,170,17099
18,173,18159
19,174,19216
20,174,20049
