generational_distance,hypervolume,epsilon_indicator,inverted_gd,spacing,nfe
inf,0.0,inf,inf,0.0,0
1.8579530807991764,0.0,1.4491916629837196,1.3770858084793398,5947.817638533116,100
0.2897732920602702,0.33971220781508077,0.30165500325050365,0.31635077835893743,4431.559939465038,1194
0.07597297250781761,0.41468718936861654,0.061481644488870946,0.20836574740029343,5397.018289894804,2289
0.09038498857694265,0.4255080998699001,0.050818899086412184,0.041982887174017935,3677.824367173991,3382
0.044584367113208755,0.42620871390424186,0.05081889162466274,0.0323567685902134,3345.8692001824334,4382
0.03254774694933194,0.42629467232592555,0.04646675300228009,0.02106649847562298,3347.2732248969032,5476
0.009839190866909956,0.4270133082952524,0.013647182901020627,0.01564969613574524,3131.4594612321107,6574
0.04095796469393728,0.42701573953546834,0.013647182901020627,0.01652030543068845,3114.5917720507673,7672
0.00966989132202147,0.42702695726443574,0.013647182901020627,0.015497263911899728,3138.504219174701,8769
0.009561275402195436,0.42703192491296843,0.013647182901020627,0.01401603886624492,3134.6863957598216,9865
0.005246408730322975,0.42708498797762084,0.013647182901020627,0.008501729988647802,3040.7091047171375,10937
0.0014128487566910219,0.4271012100390805,0.0035553937640730067,0.005354591062491122,3030.8341299459694,12887
0.001176379905042152,0.42710161086017484,0.0035553937640730067,0.004830529412562876,3025.8090905247955,14837
0.0009868837138500947,0.4271290494512112,0.001844084817463676,0.004128879335568795,3005.2802644420262,16788
0.00039309843690903877,0.4271290517989032,0.001844084817463676,0.00394512589649325,2997.7947638368096,18740
0.00039309831340032217,0.427129051816219,0.001844084817463676,0.003945125773461401,2997.7947671205584,20691
