,epsilon_progress,nfe
0,0,0
1,15,100
2,87,1194
3,115,2286
4,121,3382
5,128,4476
6,133,5571
7,136,6670
8,139,7766
9,144,8863
10,146,9958
11,147,11011
12,147,12067
13,147,13124
14,147,14180
15,148,15242
16,149,16302
17,149,17358
18,149,18417
19,149,19472
20,149,20001
