,epsilon_progress,nfe
0,0,0
1,40,100
2,236,1194
3,385,2289
4,597,3382
5,722,4382
6,792,5476
7,842,6574
8,878,7672
9,898,8769
10,947,9865
11,967,10937
12,1034,12887
13,1056,14837
14,1059,16788
15,1060,18740
16,1069,20691
