,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2
12275,26,210.80791760580485,1.5,0.0920274677055117,172.3742610185836,1.5,0.5170997759388186,254.00656404363716,1.0,0.9150308694817354,165.44022684442498,10.0,0.2356173294939601,183.02186153690204,10.0,0.3421897973806269,2.5,1.5,3.5
39833,101,123.72359563723296,10.0,0.0872845810212407,315.05520580176636,1.0,0.0196485763381859,34.954834970880924,10.0,0.305029289597337,145.432329453026,1.0,0.8629068624771051,209.0752973373248,1.5,0.0090419707841607,1.5,3.5,3.5
35280,119,84.94847704820091,10.0,0.2945698660722348,305.28304674544785,10.0,0.7026501988945113,220.06491276428113,1.0,0.3260050815291518,49.61964664459172,1.5,0.0093650781580098,306.9768600525446,10.0,0.4264806949726176,4.5,3.5,1.5
20422,20,323.96277497776697,1.5,0.1904176233168724,328.1618627089713,10.0,0.0141619521948638,302.06169632553303,10.0,0.0517064647072134,289.84538538616584,1.5,0.0592084830813338,83.70169249149768,1.0,0.6924341351629875,1.5,1.5,3.5
4717,104,40.525349135304566,10.0,0.1610014448657457,187.7891681343176,1.5,0.0103731302415694,205.97901138311724,1.0,0.9587825881724624,340.40248148880795,1.0,0.086791990789858,75.49412624024372,1.5,0.8268553064056016,1.5,1.5,1.5
