,epsilon_progress,nfe
0,0,0
1,20,100
2,143,1192
3,199,2289
4,213,3383
5,217,4475
6,217,5572
7,217,6668
8,217,7762
9,217,8856
10,218,9954
11,220,11003
12,225,12058
13,229,13062
14,231,14113
15,231,15114
16,231,16118
17,231,17118
18,231,18122
19,231,19169
20,231,20004
