,epsilon_progress,nfe
0,0,0
1,18,100
2,91,1197
3,139,2294
4,171,3389
5,190,4486
6,203,5584
7,207,6683
8,214,7780
9,221,8876
10,225,9969
11,229,11053
12,231,12144
13,231,13233
14,231,14320
15,232,15411
16,232,16503
17,232,17594
18,233,18684
19,234,19773
20,234,20085
