,epsilon_progress,nfe
0,0,0
1,12,100
2,128,1198
3,208,2296
4,250,3391
5,285,4490
6,303,5582
7,307,6680
8,309,7775
9,312,8871
10,315,9970
11,315,11084
12,315,12200
13,316,13318
14,316,14426
15,316,15545
16,316,16664
17,316,17781
18,316,18900
19,317,20017
