,epsilon_progress,nfe
0,0,0
1,43,100
2,281,1194
3,589,2291
4,810,3385
5,936,4483
6,1012,5578
7,1070,6676
8,1108,7775
9,1166,8873
10,1185,9967
11,1205,11096
12,1222,12224
13,1228,13355
14,1234,14487
15,1291,15617
16,1298,16747
17,1320,17879
18,1323,19011
19,1325,20143
