,epsilon_progress,nfe
0,0,0
1,35,100
2,307,1197
3,640,2295
4,893,3390
5,1007,4483
6,1081,5579
7,1143,6672
8,1199,7767
9,1217,8858
10,1246,9955
11,1338,11186
12,1347,12417
13,1355,13648
14,1366,14877
15,1410,16109
16,1421,17340
17,1428,18572
18,1436,19802
19,1453,21034
