,epsilon_progress,nfe
0,0,0
1,37,100
2,247,1196
3,483,2290
4,659,3386
5,767,4482
6,834,5580
7,894,6674
8,911,7769
9,937,8863
10,961,9958
11,1084,11852
12,1093,13744
13,1100,15638
14,1125,17533
15,1150,19427
16,1160,20375
