,epsilon_progress,nfe
0,0,0
1,16,100
2,106,1197
3,163,2295
4,183,3385
5,192,4483
6,195,5579
7,195,6676
8,198,7772
9,198,8871
10,199,9965
11,200,11032
12,202,12038
13,202,13042
14,202,14049
15,203,15117
16,204,16185
17,206,17186
18,206,18188
19,206,19196
20,206,20053
